"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"ICU Beds",317,280,"37",88.3,11.7,2021-02-27 01:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-27 01:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-27 07:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-27 07:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-27 07:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-27 12:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-27 12:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-27 12:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-27 13:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-27 13:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-27 13:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-27 19:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-27 19:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-27 19:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-28 01:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-28 01:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-28 01:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-28 07:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-28 07:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-28 07:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-28 13:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-28 13:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-28 13:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-28 18:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-28 18:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-28 18:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-02-28 19:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-02-28 19:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-02-28 19:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-01 01:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-01 01:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-01 01:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-01 07:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-01 07:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-01 07:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-01 13:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-01 13:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-01 13:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-01 18:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-01 18:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-01 18:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-01 19:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-01 19:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-01 19:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-02 01:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-02 01:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-02 01:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-02 07:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-02 07:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-02 07:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-02 13:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-02 13:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-02 13:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-02 18:12:01
"ICU Beds",317,280,"37",88.3,11.7,2021-03-02 18:12:01
"Ventilators",259,89,"170",34.4,65.6,2021-03-02 18:12:01
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-02 19:12:01
"ICU Beds",317,280,"37",88.3,11.7,2021-03-02 19:12:01
"Ventilators",259,89,"170",34.4,65.6,2021-03-02 19:12:01
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-03 00:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-03 00:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-03 00:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-03 01:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-03 01:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-03 01:12:00
"All Hospital Beds",3095,2391,"704",77.3,22.7,2021-03-03 07:12:00
"ICU Beds",317,280,"37",88.3,11.7,2021-03-03 07:12:00
"Ventilators",259,89,"170",34.4,65.6,2021-03-03 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-03 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-03 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-03 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-03 18:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-03 18:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-03 18:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-03 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-03 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-03 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-04 01:12:01
"ICU Beds",317,287,"30",90.5,9.5,2021-03-04 01:12:01
"Ventilators",259,95,"164",36.7,63.3,2021-03-04 01:12:01
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-04 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-04 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-04 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-04 13:12:01
"ICU Beds",317,287,"30",90.5,9.5,2021-03-04 13:12:01
"Ventilators",259,95,"164",36.7,63.3,2021-03-04 13:12:01
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-04 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-04 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-04 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-05 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-05 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-05 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-05 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-05 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-05 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-05 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-05 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-05 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-05 18:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-05 18:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-05 18:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-05 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-05 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-05 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 00:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 00:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 00:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 06:12:01
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 06:12:01
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 06:12:01
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 12:12:01
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 12:12:01
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 12:12:01
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-06 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-06 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-06 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 12:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 12:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 12:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 18:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 18:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 18:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-07 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-07 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-07 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-08 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-08 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-08 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-08 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-08 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-08 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-08 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-08 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-08 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-08 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-08 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-08 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-09 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-09 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-09 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-09 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-09 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-09 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-09 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-09 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-09 13:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-09 19:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-09 19:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-09 19:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-10 00:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-10 00:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-10 00:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-10 01:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-10 01:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-10 01:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-10 07:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-10 07:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-10 07:12:00
"All Hospital Beds",3092,2417,"675",78.2,21.8,2021-03-10 13:12:00
"ICU Beds",317,287,"30",90.5,9.5,2021-03-10 13:12:00
"Ventilators",259,95,"164",36.7,63.3,2021-03-10 13:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-10 18:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-10 18:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-10 18:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-10 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-10 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-10 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-11 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-11 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-11 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-11 07:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-11 07:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-11 07:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-11 13:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-11 13:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-11 13:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-11 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-11 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-11 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 00:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 00:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 00:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 01:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 01:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 01:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 06:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 06:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 06:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 07:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 07:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 07:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 13:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 13:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 13:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 18:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 18:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 18:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-12 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-12 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-12 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 00:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 00:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 00:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 06:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 06:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 06:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 07:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 07:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 07:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 12:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 12:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 12:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 13:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 13:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 13:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 18:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 18:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 18:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-13 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-13 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-13 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 00:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 00:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 00:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 06:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 06:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 06:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 07:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 07:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 07:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 12:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 12:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 12:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 13:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 13:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 13:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-14 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-14 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-14 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-15 00:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-15 00:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-15 00:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-15 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-15 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-15 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-15 07:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-15 07:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-15 07:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-15 13:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-15 13:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-15 13:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-15 19:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-15 19:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-15 19:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 07:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 07:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 07:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 12:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 12:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 12:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 13:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 13:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 13:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 18:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 18:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 18:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-16 19:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-16 19:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-16 19:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 00:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 00:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 00:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 01:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 01:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 01:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 06:12:01
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 06:12:01
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 06:12:01
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 07:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 07:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 07:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 12:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 12:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 12:12:00
"All Hospital Beds",3094,1408,"686",77.8,22.2,2021-03-17 13:12:00
"ICU Beds",317,272,"45",85.8,14.2,2021-03-17 13:12:00
"Ventilators",259,92,"167",35.5,64.5,2021-03-17 13:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-17 19:12:01
"ICU Beds",317,271,"46",85.5,14.5,2021-03-17 19:12:01
"Ventilators",259,87,"172",33.6,66.4,2021-03-17 19:12:01
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 00:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 00:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 00:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 01:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 01:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 01:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 07:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 07:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 07:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 13:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 13:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 13:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 18:12:01
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 18:12:01
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 18:12:01
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-18 19:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-18 19:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-18 19:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-19 01:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-19 01:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-19 01:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-19 07:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-19 07:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-19 07:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-19 13:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-19 13:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-19 13:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-19 19:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-19 19:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-19 19:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 00:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 00:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 00:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 01:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 01:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 01:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 07:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 07:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 07:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 13:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 13:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 13:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 18:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 18:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 18:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-20 19:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-20 19:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-20 19:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-21 00:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-21 00:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-21 00:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-21 01:12:00
"ICU Beds",317,271,"46",85.5,14.5,2021-03-21 01:12:00
"Ventilators",259,87,"172",33.6,66.4,2021-03-21 01:12:00
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-21 07:12:01
"ICU Beds",317,271,"46",85.5,14.5,2021-03-21 07:12:01
"Ventilators",259,87,"172",33.6,66.4,2021-03-21 07:12:01
"All Hospital Beds",3094,2355,"739",76.1,23.9,2021-03-21 12:12:01
"ICU Beds",317,271,"46",85.5,14.5,2021-03-21 12:12:01
"Ventilators",259,87,"172",33.6,66.4,2021-03-21 12:12:01
